"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"MSL3",-0.125209865096436,0.840467050491297,-0.0897062714883465,0.755206261592226,-0.133953430018168,0.678612840376044
"TLR7",-0.0421241904239706,0.987168661761228,-0.102764270682812,0.868346873746697,-0.137033259831416,0.761421121087099
"TMSB4X",0.0699818808580534,0.986243996198961,0.0184424463064264,0.963675564531743,0.0167345351738052,0.97090081093503
"RAB9A",0.0930052525467401,0.937423166258067,0.102129138264329,0.823141670358777,0.0929983560746302,0.85536489445056
"OFD1",0.0445382660382002,0.956660628690128,0.0241625804642792,0.950352759818587,-0.0265450992124272,0.941924218767205
"GPM6B",-0.235082299136173,0.937120241257205,-0.197153450535364,0.826262654925685,-0.295326592407041,0.692443850386734
"MOSPD2",-0.16236998234053,0.881801905423234,-0.154029350161301,0.73101121462528,-0.168582875848074,0.67262133082449
"CA5B",-0.287604999543256,0.628902509076854,-0.203438487184247,0.602584390525497,-0.17604079830111,0.66079399228559
"ZRSR2",-0.0428920688779065,0.956291459840523,-0.0110654588783865,0.973528437650212,-0.0793223742178351,0.787204883677694
"AP1S2",-0.130628172649506,0.895362634494784,-0.0800706918825382,0.865887045284762,-0.0871600422288158,0.871237072166292
"SYAP1",-0.148345207450523,0.952093474531886,0.0224554505719499,0.972626641981822,-0.0190123130315414,0.979207899684523
"TXLNG",0.144731859297887,0.838228110296931,0.134372563086433,0.641358100100867,0.153714342819405,0.626483070625434
"RBBP7",0.0896010697814084,0.886428075551855,0.0612807235199785,0.855291866374984,0.0268406140749102,0.944377111185559
"REPS2",-0.0589908655074141,0.975195695221014,-0.0667584826285724,0.923054773439819,0.060030904361095,0.932696683287331
"NHS",-0.437490249863828,0.709746584312119,-0.256312393055034,0.712661164701235,-0.238146461976649,0.76214077234056
"SCML1",0.0340869520963554,0.98469852697543,0.0182453377026874,0.972633302354072,-0.0707051142495097,0.877069431682963
"CDKL5",-0.230328464460218,0.77589459822922,-0.148302111870405,0.717433010177714,-0.165897732087083,0.702430088102267
"PDHA1",0.209088331137463,0.743988537519481,0.191446697993443,0.576859503928985,0.257096942029992,0.41778242206138
"SH3KBP1",0.0217485726716036,0.987232790302631,0.03356322163543,0.938163005316088,-0.0250144574887033,0.957562802791205
"EIF1AX",0.2072132551267,0.795440606734161,0.144122992858887,0.726740732682649,0.225252909398924,0.56122308555548
"RPS6KA3",-0.171838273542037,0.700393778780536,-0.133884354104779,0.593504960339697,-0.169951729003269,0.502782781028872
"SMS",0.155038375928481,0.850765417220173,0.113247024045717,0.773067952016737,0.128698121997896,0.763401414502149
"PRDX4",0.423936179993765,0.849878078933592,0.272308444708126,0.539909812541728,0.311187407986796,0.364381114006951
"ACOT9",0.200391549350677,0.795440606734161,0.150166083046595,0.647778243729206,0.17162450403126,0.639829867609977
"SAT1",0.0316980742120185,0.987232790302631,0.0513145541700221,0.895058017410379,0.0496762015922126,0.911696415617216
"KLHL15",-0.258852678387048,0.790872788088734,-0.170278640212341,0.700576833586673,-0.317278117525199,0.376391918003978
"EIF2S3",-0.0820617438570936,0.937120241257205,-0.0366319253804522,0.942866865475612,0.0179411801042549,0.973942463195293
"ZFX",0.184155555395363,0.841271683568883,0.194594196353397,0.6118955526808,0.244733704467219,0.510146919208901
"PDK3",0.181267644727993,0.842460010275105,0.100230265680421,0.793266081317201,0.0632258080894904,0.900216596874957
"POLA1",-0.148389941093238,0.872645880549738,-0.0907148229299851,0.865887045284762,-0.125987971327694,0.818889663034528
"CXorf21",0.117303758234295,0.969952634197529,0.174786562442318,0.81870490454287,0.0892693231220319,0.91093329104767
"GK",-0.0305263303120081,0.987232790302631,0.000219073564483332,0.99967840875972,-0.0447325220755636,0.928534784060247
"GK-AS1",0.205874595148829,0.920800560535454,0.198391307114415,0.791438454835134,0.265181080519183,0.741356866789519
"DMD",-0.249475135311934,0.795440606734161,-0.167362278948098,0.700576833586673,-0.182492312641858,0.707392058164091
"TMEM47",0.189251215923606,0.975727322813314,0.0500624885285758,0.975940010120607,-0.0641271939332324,0.974684551184762
"PRRG1",-0.470877630554908,0.782347688269215,-0.27909188160753,0.760448321718043,-0.333296381278788,0.736753471179569
"CYBB",0.0160432183382486,0.989701309603352,0.018753281269048,0.973528437650212,-0.0262865112247709,0.972994753675532
"DYNLT3",-0.0382166576105214,0.987165551409643,-0.0806975101966092,0.862841294296417,-0.0650423525652033,0.881526458735748
"SRPX",-0.599428435817727,0.850765417220173,-0.502592193070264,0.728626054491622,-0.657311709991291,0.633281215414405
"RPGR",-0.128947220159047,0.842460010275105,-0.104299092404283,0.707016966668684,-0.120483901713707,0.705286173072981
"TSPAN7",0.145656099747643,0.969952634197529,0.107096613898878,0.950352759818587,0.0175537364132804,0.992577129869039
"MID1IP1",0.213732071427557,0.943083225919622,0.0187378442697713,0.975491710400042,-0.0359096037719993,0.957032935111442
"ATP6AP2",0.209236897605148,0.840467050491297,0.122680069343974,0.799916251916867,0.0994175741147069,0.839420094500349
"MED14",-0.114706814484802,0.836203256481455,-0.0819505086562984,0.763121519273086,-0.103744267273412,0.75070515447857
"USP9X",0.0328581866059194,0.984952104615951,0.0105843964369043,0.978745080224563,0.0447507331656496,0.909633877358067
"DDX3X",0.104583028084322,0.941719067980704,0.101728656359204,0.809613917200381,0.0681979932452351,0.871346407366659
"CASK",-0.0121936141214779,0.990850390543415,0.0250030619620444,0.973180525785074,0.118886210579597,0.868416651730548
"GPR34",0.0927020621900755,0.969952634197529,0.0484567183412079,0.962866185703775,0.12566866849358,0.869793185908311
"GPR82",0.316571649407162,0.866886249963332,0.234408170337473,0.787639160721717,0.373748432583064,0.562754315836961
