"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","Fibroblast","TGFB1","ACVR1_TGFbR",0.000397932880150187,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mast","Fibroblast","TGFB1","ACVR1_TGFbR",0.00349846934726838,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mucosa","Fibroblast","TGFB1","ACVR1_TGFbR",0.000682502390917819,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"NKC","Fibroblast","TGFB1","ACVR1_TGFbR",0.00809217188435706,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"nmSC","Fibroblast","TGFB1","ACVR1_TGFbR",0.000608585802100659,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","Fibroblast","TGFB1","ACVR1_TGFbR",0.00195023157979562,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"TC","Fibroblast","TGFB1","ACVR1_TGFbR",0.00545760199425369,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"BC","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00389198687078819,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3high_Myeloid","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00324002072995103,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3low_Myeloid","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00268943353999896,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Cycling","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00310947880606454,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Endothelial","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00253022862399709,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","PC_VSMC","TGFB1","ACVR1_TGFbR",0.000309009348671788,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mast","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00271857297102767,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mucosa","PC_VSMC","TGFB1","ACVR1_TGFbR",0.000530021637574536,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"NKC","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00629469296157551,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
