"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH7","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,39.3222730348586
"SCH8","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,35.4416988345891
"SCH9","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,2.74381791271008
"SCH13","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,10.5760828136983
"SCH14","nmSC","C3low_Myeloid","SPP1","SPP1_CD44",TRUE,TRUE,7.45666752209027
"SCH1","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,37.6888368334825
"SCH2","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,23.0432016789345
"SCH3","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,117.556333119614
"SCH4","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,81.815253107343
"SCH5","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,55.970462849654
"SCH6","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,77.9101258034974
"SCH7","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,301.128183933534
"SCH8","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,70.9907187313627
"SCH9","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,3.31146377309749
"SCH13","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,25.4014431619759
"SCH14","C3high_Myeloid","nmSC","SPP1","SPP1_CD44",TRUE,TRUE,26.0910127515323
"SCH1","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,8.80084279213685
"SCH2","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,10.2803331749443
"SCH3","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,4.97103096906512
"SCH4","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,18.6573348033448
"SCH5","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,21.95118735481
"SCH6","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,13.1165364715423
"SCH7","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,30.84876149429
"SCH8","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,19.1185108571167
"SCH9","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,1.86641396216543
"SCH13","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,9.08340775441978
"SCH14","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,7.70230804025063
"SCH1","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,84.168357225831
"SCH2","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH3","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH4","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,79.8045949990635
"SCH5","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH6","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,74.0363045350393
"SCH7","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH8","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH9","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,4.98532726772148
"SCH13","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",FALSE,,
"SCH14","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,24.3026666641596
"SCH1","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,59.0149611500336
"SCH2","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,36.7960182928261
"SCH3","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,111.246397753474
"SCH4","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,113.740709661176
"SCH5","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,129.375635653184
"SCH6","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,108.219981176124
"SCH7","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,351.765572458534
"SCH8","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,92.1866106485523
"SCH9","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,6.50465215737193
"SCH13","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,43.7073970380889
"SCH14","C3high_Myeloid","nmSC","SPP1","SPP1_ITGAV_ITGB1",TRUE,TRUE,40.9345713247801
"SCH1","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,2.52099636331443
"SCH2","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,2.65356985857161
"SCH3","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,1.52416546695331
"SCH4","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,5.97831149479831
"SCH5","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,5.38935219254385
"SCH6","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,4.16027230682344
"SCH7","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,7.30665818537184
"SCH8","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,5.6187633345566
"SCH9","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,0.505901501255528
"SCH13","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,2.31005404873844
"SCH14","nmSC","C3high_Myeloid","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,2.49320353218704
"SCH1","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,0.0030792964218506
"SCH2","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH3","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH4","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,46.9806631552712
"SCH5","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH6","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,0.00255191078099907
"SCH7","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH8","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH9","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,1.97231581604006
"SCH13","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH14","C3high_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,11.2453531193377
"SCH1","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,0.00184438363145262
"SCH2","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH3","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH4","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,17.9459597122623
"SCH5","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH6","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,FALSE,0.00171346142924655
"SCH7","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH8","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH9","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,1.88180407019207
"SCH13","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",FALSE,,
"SCH14","C3low_Myeloid","myeSC","SPP1","SPP1_ITGAV_ITGB5",TRUE,TRUE,10.451680263505
"SCH1","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,4.75872351584452
