"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C3high_Myeloid","myeSC","HGF","MET",0.000934328078073527,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121"
"C3low_Myeloid","myeSC","HGF","MET",1.16019256662139e-06,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121"
"C3high_Myeloid","nmSC","HGF","MET",0.00111012354577153,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121"
"C3low_Myeloid","nmSC","HGF","MET",1.37872713364995e-06,0,"HGF_MET","HGF - MET","HGF","Secreted Signaling","PMID: 28475121"
"nmSC","C3high_Myeloid","SEMA3C","NRP1_NRP2",0.00287736287065852,0,"SEMA3C_NRP1_NRP2","SEMA3C - (NRP1+NRP2)","SEMA3","Secreted Signaling","PMID: 27533782"
"nmSC","C3high_Myeloid","SEMA3C","PLXND1",0.00289390787190275,0,"SEMA3C_PLXND1","SEMA3C - PLXND1","SEMA3","Secreted Signaling","PMID: 27533782"
"nmSC","C3low_Myeloid","SEMA3C","PLXND1",0.00130768834025876,0,"SEMA3C_PLXND1","SEMA3C - PLXND1","SEMA3","Secreted Signaling","PMID: 27533782"
"myeSC","C3high_Myeloid","ANXA1","FPR1",0.0390037022517924,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"nmSC","C3high_Myeloid","ANXA1","FPR1",0.0756964952552955,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"myeSC","C3low_Myeloid","ANXA1","FPR1",0.0363675047032341,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"nmSC","C3low_Myeloid","ANXA1","FPR1",0.0707629059631429,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"nmSC","C3high_Myeloid","GAS6","AXL",0.00495904307416576,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"nmSC","C3low_Myeloid","GAS6","AXL",0.0040269574460022,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"nmSC","C3high_Myeloid","GAS6","MERTK",0.00196761797488183,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848"
"C3high_Myeloid","myeSC","GAS6","TYRO3",0.000581351011728392,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848"
